Altium Designer Pick and Place Locations
C:\Users\hm-kreppel\Documents\Altium Projects\uz_a_max11331_adapter\Project Outputs for UZ_A_MAX11331_Adapter\Pick Place\PickPlace_UltraZohm_Analog_Adapter_MAX11331_2v01.txt

========================================================================================================================
File Design Information:

Date:       27.04.21
Time:       14:27
Revision:   fa2996f1e3faf38aa54968044dd00afff6443f76
Variant:    SMD_Assembly
Units used: mm

Designator  Footprint                     Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Rotation Layer       Comment                      
F3          FIDUCIAL_1.7MM                -5.5880      -82.2198     97.5000   -47.5000  -5.5880   -82.2198  0        TopLayer    Fiducial                     
F2          FIDUCIAL_1.7MM                -5.5880      -82.2198     17.5000   -47.5000  -5.5880   -82.2198  0        TopLayer    Fiducial                     
F1          FIDUCIAL_1.7MM                -5.5880      -82.2198     17.5000   47.5000   -5.5880   -82.2198  0        TopLayer    Fiducial                     
U10         TSOP65P640X120-16N            31.6000      -21.5000     31.6000   -21.5000  28.6500   -19.2250  0        TopLayer    SN74AVC4T774                 
U9          TSOP65P640X120-16N            31.6000      -13.2250     31.6000   -13.2250  28.6500   -10.9500  0        TopLayer    SN74AVC4T774                 
U8          TSOP65P640X120-16N            31.6000      -4.9000      31.6000   -4.9000   28.6500   -2.6250   0        TopLayer    SN74AVC4T774                 
U7          TSOP65P640X120-16N            31.6000      3.4000       31.6000   3.4000    28.6500   5.6750    0        TopLayer    SN74AVC4T774                 
U6          SOT230P700X170-4N             33.5280      22.3520      33.5280   22.3520   35.8280   25.2520   270      TopLayer    "1.8V LDO"                   
U5          SOIC127P600X170_HS-9N         36.1080      31.5940      36.1080   31.5940   33.4080   33.4990   360      TopLayer    "buck converter"             
U4C         SOIC127P600X170_HS-9N_NO_THP  81.2286      -39.7164     81.2286   -39.7164  78.5286   -37.8114  360      TopLayer    "Signle LVDS receiver"       
U4B         SOIC127P600X170_HS-9N_NO_THP  81.2342      -18.2740     81.2342   -18.2740  78.5342   -16.3690  360      TopLayer    "Signle LVDS receiver"       
U4A         SOIC127P600X170_HS-9N_NO_THP  81.2540      2.6050       81.2540   2.6050    78.5540   4.5100    360      TopLayer    "Signle LVDS receiver"       
U3C         TSOP65P640X120-16N            53.7989      -29.9025     53.7989   -29.9025  56.7489   -32.1775  180      TopLayer    "Quad LVDS reciever"         
U3B         TSOP65P640X120-16N            53.8045      -8.4601      53.8045   -8.4601   56.7545   -10.7351  180      TopLayer    "Quad LVDS reciever"         
U3A         TSOP65P640X120-16N            53.8243      12.4189      53.8243   12.4189   56.7743   10.1439   180      TopLayer    "Quad LVDS reciever"         
U2C         TSOP65P640X120-16N            71.4426      -39.7760     71.4426   -39.7760  74.3926   -42.0510  180      TopLayer    "Quad LVDS driver"           
U2B         TSOP65P640X120-16N            71.4482      -18.3336     71.4482   -18.3336  74.3982   -20.6086  180      TopLayer    "Quad LVDS driver"           
U2A         TSOP65P640X120-16N            71.4680      2.5454       71.4680   2.5454    74.4180   0.2704    180      TopLayer    "Quad LVDS driver"           
U1          TSOP65P640X120-16N            31.6000      11.7000      31.6000   11.7000   28.6500   13.9750   0        TopLayer    SN74AVC4T774                 
